Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time,,,,,,
23,Julia,0.959586439,0.009670345,0.005589065,0.098880246,0.01134518,0.012226996,0.020269183,0.106641549,1.72E-07,0.056820086,0.139950976,0.115369492,0.332857309,0.352948852,0.027163566,0.111897476,0.028142294,0.440171391,1.104355695,0.268765906,0.409108873,0.129613244,0.820719533,0.353114012,25.66948535,0.011316101,0.012198349,0.020214877,0.106424656,0.130378749,0.003016263,0.04,0.02,7.32E-06,1.607803246,0.013013434,0.5485883,,,,,,
24,Julia,0.984463433,0.011660529,0.006007588,0.09251536,0.009577847,0.010535132,0.018282396,0.224554929,2.18E-07,0.064093673,0.14324104,0.12196933,0.358835011,0.333037835,0.026790881,0.10356917,0.02469586,0.437988555,1.174021697,0.267665752,0.463797346,0.118206647,0.692283826,0.287223642,25.59026449,0.00955688,0.010514051,0.018240559,0.22416488,0.134708691,0.00348303,0.04,0.02,9.70E-06,1.849019013,0.011366562,0.1918686,,,,,,
25,Julia,0.978698493,0.008149814,0.005455,0.104588534,0.008482231,0.010631729,0.015987564,0.331348169,1.71E-07,0.055529031,0.151451536,0.131490744,0.384688944,0.322356871,0.023302199,0.092023742,0.02734232,0.436130802,1.200732944,0.224006073,0.437162361,0.135126921,0.599899036,0.31884971,25.69701785,0.008462757,0.010609416,0.015949194,0.330744537,0.142144379,0.003928545,0.04,0.02,7.64E-06,1.631365399,0.012780743,0.1708218,,,,,,
26,Julia,1659.910835,0.137400452,0.043796808,5.403587179,4.006927203,4.844930619,2.482470927,9.854755066,0.006192687,1.85E-05,0.015784145,0.12522258,0.291100512,0.215110486,0.028982068,0.081083473,0.029569289,0.365823302,1.13584822,0.006809489,0.007213422,0.006766268,0.007251719,0.007005329,25.56473063,2.40931931,3.016754728,1.466110571,6.458310169,0.000780459,1.19E-05,0.04,0.02,0.30191923,0.000563694,0.019899445,0.4736691,,,,,,
27,Julia,1.15157205,0.012431937,0.007004539,0.144381929,0.011868783,0.013202624,0.016432998,0.56759247,2.13E-07,0.055924253,0.154131663,0.140013686,0.294111368,0.322846024,0.029717909,0.121182098,0.031622165,0.38022259,1.180759765,0.241446481,0.423904241,0.150196539,0.816061937,0.325342933,25.60190967,0.011842608,0.013176009,0.016395114,0.566599252,0.145319674,0.005554482,0.04,0.02,9.23E-06,1.685816464,0.013101317,0.4482951,,,,,,
28,Julia,1.159942541,0.011153269,0.005331681,0.104886318,0.016695951,0.019344009,0.017002827,0.583721053,2.19E-07,0.053650215,0.151396793,0.134799968,0.349496708,0.33968487,0.024521668,0.106507499,0.024585144,0.41183374,1.1393242,0.23948404,0.400725246,0.121432244,0.679145869,0.351364487,25.68280744,0.016651104,0.019296512,0.016955085,0.582476832,0.140960155,0.004385976,0.04,0.02,9.57E-06,1.623025798,0.01548147,0.6136082,,,,,,
29,Julia,0.976714385,0.013353625,0.005167318,0.117037131,0.012746765,0.013065759,0.013168021,0.175581623,2.40E-07,0.048977697,0.134971181,0.112450482,0.288583138,0.284240769,0.031537434,0.115247407,0.027515268,0.394942409,1.307515726,0.22550392,0.414204824,0.138542621,0.671450285,0.307954867,25.55746461,0.012711887,0.013033079,0.013130357,0.175200373,0.125608931,0.003843605,0.04,0.02,1.04E-05,1.496225765,0.014212746,0.1588479,,,,,,
30,Julia,10.4722465,0.012762173,0.006000269,4.193989801,0.049612409,0.057131408,0.126326305,17.33522606,1.50E-05,0.028709182,0.019733494,0.155174748,0.295362678,0.282066706,0.034432004,0.137279617,0.031019954,0.398210284,1.355742003,0.052933637,0.369935078,0.152575924,0.007703592,0.298832494,25.52619567,0.029008544,0.034643574,0.072494923,11.08874875,0.000906606,1.30E-05,0.04,0.02,0.000718163,0.851752288,0.024472563,0.3896853,,,,,,
31,Julia,0.952675563,0.008405104,0.004603358,0.064898982,0.010457543,0.011365351,0.0154246,0.279234764,1.80E-07,0.049295148,0.158144781,0.137567669,0.296185704,0.299938054,0.022144486,0.083746777,0.025518795,0.428714073,1.093070381,0.244838614,0.41423292,0.114885867,0.684746665,0.341306657,25.55635446,0.010432219,0.011340194,0.015385556,0.278698221,0.148196315,0.004757654,0.04,0.02,7.95E-06,1.492640459,0.014575543,0.2048978,,,,,,
32,Julia,1.038002672,0.013131777,0.005349557,0.105226825,0.013682887,0.014848747,0.020113891,0.130456676,2.15E-07,0.061213475,0.153553669,0.126388989,0.325642454,0.305511453,0.032244877,0.119780317,0.034620557,0.470162881,1.290864844,0.265296184,0.444226346,0.152452314,0.666645603,0.360825379,25.56422333,0.013642965,0.014809143,0.020052545,0.130154613,0.141475353,0.002542446,0.04,0.02,9.14E-06,1.687359208,0.015699907,0.4277735,,,,,,
33,Julia,0.95741226,0.010777023,0.005296716,0.080714413,0.00985946,0.011882938,0.016913874,0.193491226,2.24E-07,0.056657618,0.162379883,0.142475637,0.388647049,0.273822154,0.020908301,0.074714833,0.021592196,0.432709391,1.146251075,0.210601624,0.374495568,0.108299966,0.732768182,0.31150165,25.75584086,0.009840327,0.01186186,0.016879562,0.193193312,0.153917062,0.005267084,0.04,0.02,1.01E-05,1.692285236,0.01182681,0.1742073,,,,,,
34,Julia,1.022895326,0.010911131,0.00680574,0.092024459,0.012400661,0.015499328,0.012950143,0.202682607,2.29E-07,0.053437286,0.1701371,0.141979137,0.347818172,0.355915424,0.031934545,0.099360198,0.032340213,0.484700965,1.118450941,0.255601809,0.393555727,0.121530265,0.678394596,0.317818023,25.64377439,0.012361239,0.015454285,0.012907109,0.202171248,0.155765374,0.002783253,0.04,0.02,9.71E-06,1.48677217,0.019046234,0.5003404,,,,,,
35,Julia,0.939475857,0.009985206,0.005933704,0.113190985,0.010368027,0.011979688,0.015208381,0.109240829,1.89E-07,0.053422749,0.139604333,0.113136475,0.356853188,0.292163776,0.025145146,0.086405408,0.029420419,0.485597788,1.031017544,0.243599749,0.465903764,0.139053824,0.789469716,0.354046654,25.66934533,0.010335979,0.011945837,0.015159241,0.10897285,0.128413525,0.002760118,0.04,0.02,8.22E-06,1.567840109,0.015825012,0.2557785,,,,,,
36,Julia,1.10499736,0.014088832,0.005912517,0.154885279,0.014418244,0.015633701,0.01615407,0.248916081,2.82E-07,0.055601439,0.15894874,0.134761706,0.271113851,0.318275694,0.032088824,0.139674563,0.03680139,0.467602892,1.286114655,0.235197811,0.433609806,0.167024168,0.757684358,0.333698848,25.63042251,0.014379329,0.015595129,0.016108494,0.248382956,0.147429761,0.003140133,0.04,0.02,1.16E-05,1.522566932,0.015313804,0.1571353,,,,,,
37,Julia,20.29022434,0.156025641,0.062568307,5.35052788,0.315140211,0.361891643,4.177529359,15.70862231,3.33E-06,0.029137055,0.017538471,0.131525934,0.236438301,0.256667442,0.029266875,0.095883992,0.028159328,0.385583786,1.025323009,0.009933604,0.424729649,0.013364775,0.007356756,0.179231768,25.48007075,0.150843084,0.181361068,1.953302152,8.428086098,0.000544938,8.27E-06,0.04,0.02,0.000166702,0.916166118,0.023158701,0.3367787,,,,,,
38,Julia,0.948431412,0.009677473,0.00562238,0.106239326,0.011567687,0.014256142,0.011686668,0.088093464,2.95E-07,0.056407036,0.142130783,0.117357565,0.315520826,0.264272069,0.022902652,0.094317447,0.027904234,0.451312175,1.066198391,0.208023256,0.424219519,0.136614214,0.854694204,0.318626957,25.69095383,0.011537095,0.014221678,0.01165436,0.08790859,0.132310157,0.003424901,0.04,0.02,1.30E-05,1.681974875,0.014012094,0.2265424,,,,,,
39,Julia,1.541398156,0.013075213,0.006170089,0.145462581,0.011791152,0.013108745,0.021861429,1.804887195,3.30E-07,0.054285717,0.132916224,0.140767674,0.33679831,0.343875149,0.027823434,0.120268207,0.032066057,0.451046235,1.110228805,0.229809224,0.416690973,0.142381265,0.72032568,0.293370537,25.4944738,0.011765777,0.01308296,0.021812251,1.801805356,0.125654779,0.006625685,0.04,0.02,1.43E-05,1.679279156,0.011356175,0.1662049,,,,,,
40,Julia,1.148507601,0.010571079,0.005096016,0.103449332,0.010711119,0.012956166,0.019251394,0.700301667,2.08E-07,0.050286,0.157769299,0.143221049,0.312147681,0.316009545,0.025725047,0.1083547,0.032760927,0.419760292,1.175502687,0.207714774,0.426690631,0.143919223,0.667434429,0.364450835,25.70724495,0.010683571,0.012925705,0.019199636,0.69887242,0.147287084,0.0047099,0.04,0.02,8.87E-06,1.488535054,0.015402985,0.1679677,,,,,,
41,Julia,1.601853946,0.011154526,0.005342534,0.10578925,0.008494677,0.010309245,0.013420194,2.487880772,2.11E-07,0.053541577,0.133147955,0.152266473,0.324599264,0.248725419,0.025884298,0.099127839,0.023029134,0.358350645,1.176267628,0.212583939,0.475740444,0.134366813,0.621082219,0.31355428,25.70791527,0.008477011,0.010289648,0.01339102,2.483775733,0.126067096,0.00716484,0.04,0.02,9.56E-06,1.699657536,0.010971729,0.2812423,,,,,,
42,Julia,1.270236896,0.018287174,0.006366285,0.149128542,0.014129009,0.016090182,0.018238231,0.79355079,2.51E-07,0.047747298,0.146793644,0.134117917,0.256855303,0.36415568,0.042233018,0.119344517,0.033690602,0.401195076,1.25246444,0.23281536,0.422873182,0.157980042,0.692354821,0.385326451,25.61107128,0.014090344,0.016049932,0.018186058,0.791827507,0.136665863,0.004748656,0.04,0.02,1.01E-05,1.390946579,0.015531832,0.2555488,,,,,,
43,Julia,1.32143647,0.011133587,0.006006952,0.143350218,0.012129605,0.013690597,0.016893988,1.029386035,2.65E-07,0.058941194,0.146586518,0.144926764,0.283299677,0.370731817,0.027785527,0.106317657,0.032264352,0.486543362,1.291742856,0.247180486,0.519310761,0.153395997,0.765344277,0.354143083,25.5669812,0.012110219,0.013670598,0.016865762,1.028080789,0.140454555,0.008113095,0.04,0.02,1.16E-05,1.802534611,0.009240768,0.1462819,,,,,,
44,Julia,1.067031841,0.016597571,0.006368876,0.091723282,0.0089698,0.010792318,0.017275573,0.306975783,3.15E-07,0.050051194,0.142565031,0.124070079,0.32854728,0.323611573,0.032159369,0.120332104,0.028697926,0.434598248,1.223700285,0.283294363,0.437044299,0.135225094,0.850503352,0.322115197,25.6749508,0.008947987,0.010768327,0.017231658,0.306383425,0.133823386,0.005194475,0.04,0.02,1.35E-05,1.535028097,0.013668284,0.3795887,,,,,,
45,Julia,1.030582866,0.012632838,0.005204269,0.075820027,0.008924555,0.009016054,0.018156916,0.308990529,1.59E-07,0.069357653,0.163893276,0.149381144,0.378927816,0.334384986,0.028402006,0.082283256,0.031688657,0.357082064,1.335546169,0.255241075,0.445653412,0.125885391,0.874251767,0.372042949,25.68680993,0.00891213,0.009004581,0.01813049,0.308649245,0.15756447,0.006732176,0.04,0.02,7.21E-06,2.028507917,0.008489252,0.1498943,,,,,,
46,Julia,5.364027902,0.010758147,0.005635214,0.130311719,0.015919357,0.018202189,0.017755546,20.19193512,6.41E-07,0.034637485,0.014660865,0.149500487,0.286694735,0.299387942,0.031146245,0.094743248,0.025018698,0.442620699,1.180045634,0.26201537,0.480286853,0.13379168,0.007056032,0.282436326,25.623117,0.007599757,0.009098948,0.008279654,10.80808167,0.000461497,1.05E-05,0.04,0.02,3.13E-05,1.097118617,0.020088396,0.4091521,,,,,,
47,Julia,1.08470064,0.013775253,0.007747945,0.186319374,0.011368956,0.011399133,0.015639964,0.316084904,2.65E-07,0.058454584,0.13390556,0.112212908,0.309736858,0.33961125,0.031298677,0.137538718,0.034467698,0.458123026,1.081484644,0.224321593,0.476546869,0.14452504,0.916600733,0.340572162,25.59974067,0.011338064,0.011370819,0.01559554,0.315403342,0.124234308,0.002785166,0.04,0.02,1.11E-05,1.636043398,0.013162163,0.177819,,,,,,
48,Julia,1.018630314,0.014785606,0.004550375,0.091811431,0.011230284,0.011591598,0.017084747,0.186064137,2.49E-07,0.062224146,0.17185041,0.150533227,0.306705255,0.281072828,0.029381288,0.101592467,0.031505862,0.382262527,1.122330647,0.253787402,0.436207965,0.149127886,0.785242526,0.33875584,25.61765755,0.011208549,0.011571092,0.017050182,0.185778427,0.162685365,0.004666073,0.04,0.02,1.09E-05,1.758264846,0.012048516,0.2650108,,,,,,
49,Julia,1.028443466,0.010960672,0.00686063,0.116374592,0.012383025,0.014479257,0.01299588,0.225960231,2.16E-07,0.060770497,0.142270846,0.12264301,0.292076563,0.292106408,0.031265519,0.117716536,0.027459308,0.458958153,1.224918851,0.222395604,0.45275161,0.162920087,0.787939012,0.346421266,25.58261,0.012356216,0.014450603,0.012966468,0.225572072,0.13420213,0.004650113,0.04,0.02,9.33E-06,1.80774072,0.011755883,0.2175921,,,,,,
50,Julia,0.981877325,0.014894961,0.004969075,0.109952184,0.011026558,0.012369552,0.012778368,0.232289485,2.53E-07,0.046398069,0.142494057,0.116828016,0.341407915,0.289441311,0.029235596,0.108326822,0.031503046,0.359484853,1.083789141,0.243152384,0.423045004,0.144587172,0.74945352,0.2674924,25.61902747,0.010989231,0.012331272,0.012733151,0.231665393,0.130190413,0.002773829,0.04,0.02,1.07E-05,1.348308643,0.017709483,0.3027368,,,,,,
51,Julia,1.13139798,0.011740369,0.00753522,0.143378586,0.010315273,0.011685952,0.017273549,0.462729758,2.03E-07,0.056973665,0.158929456,0.142464521,0.326645296,0.386541924,0.028630509,0.138084829,0.032627937,0.480496662,1.113030482,0.215915669,0.575348491,0.128503663,0.784708563,0.382221274,25.62802883,0.010293092,0.011662983,0.017234721,0.461940259,0.149888068,0.005081712,0.04,0.02,8.51E-06,1.638904458,0.012864751,0.1794429,,,,,,
52,Julia,1.197243013,0.01069739,0.005276008,0.123173065,0.013109533,0.014266697,0.021497246,0.693183887,2.67E-07,0.057512608,0.129665794,0.116246664,0.276938837,0.343917402,0.028251021,0.127053521,0.032612993,0.440370394,1.2469797,0.282106095,0.487711071,0.139960586,0.71476772,0.372288291,25.52015679,0.013076442,0.014233778,0.021440523,0.691795436,0.121200603,0.003892881,0.04,0.02,1.14E-05,1.695965079,0.012412972,0.2755287,,,,,,
53,Julia,28.45214209,0.305762465,0.089759564,5.439530779,1.565184739,1.722882107,3.426219299,13.53424525,2.72E-07,0.064740974,0.001455768,0.146954132,0.282424517,0.249563571,0.029699877,0.097897582,0.027062669,0.34914791,0.973242995,0.011242494,0.28807659,0.019871389,0.007340531,0.148914336,25.42638036,0.934698993,1.065835836,2.009284073,8.817242551,7.60E-05,2.27E-05,0.04,0.02,1.42E-05,2.276665168,0.002156027,0.2992563,,,,,,
54,Julia,1.026984608,0.015357243,0.004931487,0.089091116,0.011350522,0.011550905,0.0151246,0.232607996,2.60E-07,0.058268137,0.16862207,0.144893611,0.335758837,0.291644514,0.034608628,0.101776284,0.032578815,0.390795934,1.192085203,0.263338739,0.425385189,0.132880818,0.70691175,0.310628738,25.58502822,0.011322193,0.011524552,0.01508514,0.232147316,0.157284142,0.003720565,0.04,0.02,1.12E-05,1.652278715,0.01519666,0.7765634,,,,,,
55,Julia,1.081200778,0.012801762,0.004844389,0.109670075,0.01318103,0.015212194,0.022509055,0.238539481,2.22E-07,0.059860603,0.166349441,0.146012441,0.322203785,0.286751615,0.033083722,0.108400281,0.029129177,0.43412454,1.201794161,0.232592706,0.498246817,0.125728668,0.901603529,0.318897656,25.62542264,0.013153777,0.015183444,0.022460404,0.238148148,0.157088586,0.004843507,0.04,0.02,9.59E-06,1.719492237,0.012715151,0.3254635,,,,,,
56,Julia,1.152573198,0.012249774,0.005588458,0.116792214,0.009767252,0.011102694,0.013561333,0.674000907,2.46E-07,0.053245857,0.150735166,0.140115874,0.310447617,0.336014913,0.032417218,0.102047667,0.026237929,0.473226581,1.185014709,0.236545533,0.468479977,0.164709964,0.818669792,0.302262069,25.69268902,0.009746781,0.011081422,0.01353162,0.67288002,0.142688789,0.006675468,0.04,0.02,1.08E-05,1.656216716,0.01253959,0.2310861,,,,,,
57,Julia,1.066860885,0.011180795,0.006916616,0.129120485,0.011899528,0.013471766,0.017153796,0.281988828,2.50E-07,0.056823989,0.171678137,0.150806672,0.3316376,0.285284697,0.025664646,0.114645187,0.029181339,0.465865274,0.987902541,0.209911273,0.420500998,0.157005872,0.749523356,0.317079627,25.6761524,0.011872889,0.013444199,0.017113653,0.28148793,0.161395737,0.004718209,0.04,0.02,1.08E-05,1.634965102,0.014213932,0.3992576,,,,,,
