Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time
24,Julia,0.984348635,0.011660527,0.006007587,0.092515346,0.009577846,0.01053513,0.018282393,0.22482578,2.18E-07,0.063935597,0.143206978,0.121969388,0.35883462,0.333037451,0.026790877,0.103569167,0.024695855,0.437988492,1.17402166,0.267665705,0.463797328,0.11820664,0.692274876,0.287223604,25.59026381,0.009556929,0.0105141,0.018240658,0.224436212,0.134696231,0.003491306,0.04,0.02,9.70E-06,1.843967537,0.011337645,0.4476511
25,Julia,0.975163338,0.008149815,0.005455,0.104588595,0.008482229,0.010631732,0.01598757,0.309397449,1.71E-07,0.057572189,0.152263395,0.131486417,0.384722165,0.322386241,0.023302461,0.092024013,0.027342704,0.436135777,1.200736458,0.224009179,0.437163901,0.135127646,0.600545062,0.318852253,25.69708135,0.008462094,0.010608662,0.015947898,0.308814674,0.142608332,0.003802958,0.04,0.02,7.69E-06,1.697929711,0.013260881,0.2404799
26,Julia,1672.555287,0.137434065,0.043806183,5.403586305,4.0069264,4.844925946,2.482460676,9.854735956,0.006239315,1.87E-05,0.015897852,0.125222544,0.291100409,0.215110378,0.028982067,0.081083472,0.029569287,0.36582109,1.13584769,0.00680948,0.007213275,0.006766252,0.00725174,0.007005259,25.56473041,2.409220487,3.016635286,1.466043069,6.458069782,0.000786005,1.19E-05,0.04,0.02,0.304365551,0.000567948,0.020043209,0.8739602
27,Julia,1.153153476,0.012431937,0.007004539,0.144381898,0.011868784,0.013202622,0.016432997,0.574231413,2.13E-07,0.055709317,0.153979153,0.140015303,0.294103332,0.322836544,0.029717807,0.121181982,0.031622009,0.380221261,1.180758634,0.241445296,0.423903754,0.150196275,0.815810331,0.325342132,25.60189199,0.011842688,0.013176088,0.016395228,0.573229646,0.145201264,0.005570903,0.04,0.02,9.22E-06,1.678449869,0.013050277,0.2749831
28,Julia,1.172972261,0.011153268,0.00533168,0.104886143,0.016695955,0.019343994,0.017002804,0.639566328,2.19E-07,0.051891582,0.150072517,0.134811059,0.349428631,0.339614672,0.02452106,0.106506913,0.024584407,0.411823429,1.139317958,0.239476952,0.400722629,0.121430927,0.677418179,0.351359014,25.6826664,0.016652297,0.019297756,0.016956329,0.638239243,0.139983744,0.004502147,0.04,0.02,9.51E-06,1.562828783,0.01496217,0.6298807
29,Julia,0.976720914,0.013353645,0.005167326,0.117037565,0.01274679,0.013065788,0.013168066,0.167881719,2.40E-07,0.050469717,0.135507006,0.112448835,0.288591699,0.284249853,0.031537555,0.115247524,0.027515418,0.394943944,1.307517065,0.225505113,0.414205322,0.138542864,0.671704219,0.307955862,25.5574824,0.01271084,0.013032103,0.013129245,0.167505983,0.12583867,0.003732487,0.04,0.02,1.05E-05,1.548450292,0.014680544,0.4979302
30,Julia,10.48720353,0.012762229,0.006000295,4.198330593,0.049644202,0.057168538,0.126494462,17.33217876,1.50E-05,0.029878311,0.020492836,0.155176221,0.295354717,0.282058567,0.03443191,0.137279518,0.031019844,0.398209179,1.355741025,0.052766603,0.369931978,0.152569321,0.007703588,0.298774586,25.52618046,0.029026367,0.034665223,0.072589459,11.08654583,0.000941435,1.30E-05,0.04,0.02,0.000721363,0.88845435,0.025416865,0.7670828
31,Julia,0.950006852,0.008405106,0.004603359,0.064899023,0.010457542,0.011365357,0.01542461,0.262554822,1.80E-07,0.050811136,0.158851119,0.13756405,0.296206951,0.299961211,0.022144697,0.08374695,0.025519085,0.428718186,1.093072601,0.244841349,0.414233969,0.11488634,0.685311806,0.34130882,25.55639729,0.010431479,0.011339463,0.015384423,0.262035567,0.14858417,0.004626572,0.04,0.02,8.00E-06,1.54432548,0.015044879,0.9973412
32,Julia,1.036370554,0.013131778,0.005349557,0.105226825,0.013682888,0.014848746,0.020113891,0.13461365,2.15E-07,0.059323156,0.153008982,0.126389874,0.325637926,0.305506962,0.032244833,0.11978027,0.034620484,0.47016218,1.290864264,0.265295612,0.444226132,0.152452201,0.666506949,0.360824803,25.56421507,0.013644238,0.014810405,0.020054501,0.134311906,0.141328978,0.002624702,0.04,0.02,9.07E-06,1.627928204,0.015178944,0.7721447
33,Julia,0.957429695,0.010777023,0.005296716,0.080714453,0.009859461,0.011882941,0.016913881,0.18773866,2.24E-07,0.058148463,0.16282141,0.142474387,0.388658425,0.273830422,0.020908381,0.074714895,0.021592308,0.432711076,1.146251958,0.210602645,0.374495888,0.108300116,0.732969145,0.311502566,25.75586442,0.009839843,0.011861329,0.0168787,0.187442272,0.154131523,0.005141265,0.04,0.02,1.02E-05,1.741515246,0.01214567,1.2947186
34,Julia,1.022714584,0.010911128,0.006805739,0.092024422,0.012400661,0.015499325,0.01295014,0.212728983,2.29E-07,0.051659377,0.169371579,0.141981315,0.34780465,0.355900692,0.031934415,0.099360083,0.032340034,0.484698989,1.118449615,0.255600416,0.39355517,0.12153002,0.678061978,0.317816913,25.64374787,0.012362584,0.015455819,0.012908574,0.212210595,0.155513994,0.002879902,0.04,0.02,9.63E-06,1.430157247,0.018360495,0.235817
35,Julia,0.93892008,0.009985207,0.005933703,0.113190979,0.010368028,0.011979688,0.015208381,0.110569,1.89E-07,0.052819912,0.139416553,0.113136837,0.356850856,0.292161798,0.025145124,0.086405388,0.029420388,0.485597336,1.031017339,0.24359949,0.465903623,0.139053768,0.789419883,0.354046378,25.66934066,0.010336353,0.011946232,0.015159814,0.11030093,0.12836123,0.002792008,0.04,0.02,8.20E-06,1.547746051,0.015632252,0.2270566
36,Julia,1.104462973,0.014088832,0.005912517,0.154885342,0.014418243,0.015633703,0.016154072,0.235610166,2.82E-07,0.057690368,0.159738116,0.134758672,0.271128442,0.318294318,0.032089025,0.139674803,0.036801725,0.467605912,1.286116902,0.235199942,0.433610667,0.167024677,0.758159458,0.333700581,25.63045956,0.01437783,0.015593647,0.016106742,0.235086106,0.147748678,0.003025994,0.04,0.02,1.17E-05,1.589251214,0.015943869,0.3414499
37,Julia,20.29591968,0.156073573,0.062585767,5.350587287,0.315469037,0.36227861,4.177654131,15.70799187,3.33E-06,0.029884046,0.017928189,0.1315262,0.236436028,0.256665003,0.029266847,0.095883968,0.028159293,0.385580114,1.025321865,0.009931092,0.424695929,0.013356826,0.007356752,0.179220605,25.48006571,0.150990562,0.181543587,1.953229494,8.427255853,0.000556979,8.27E-06,0.04,0.02,0.000167031,0.940373331,0.023674182,0.5688661
38,Julia,0.94727101,0.009677474,0.00562238,0.1062393,0.011567687,0.014256142,0.011686667,0.090194739,2.95E-07,0.055156458,0.141791444,0.117358169,0.315518149,0.26426957,0.022902629,0.094317424,0.027904196,0.451311695,1.066198264,0.208023003,0.424219401,0.136614154,0.854609621,0.318626563,25.6909469,0.011537785,0.014222455,0.011655088,0.09000973,0.132200958,0.003501845,0.04,0.02,1.30E-05,1.640039434,0.013681874,0.5387825
39,Julia,1.522259907,0.013075215,0.006170089,0.145462861,0.011791145,0.013108757,0.021861454,1.731511492,3.30E-07,0.055159498,0.134181108,0.14075069,0.336895496,0.343980644,0.027824278,0.120269206,0.03206739,0.451060172,1.110237972,0.229818719,0.416695014,0.142383393,0.723018524,0.293376635,25.49462554,0.011765642,0.013082841,0.021812026,1.728539932,0.126815326,0.006592935,0.04,0.02,1.43E-05,1.709824125,0.011520544,0.1960642
40,Julia,1.144690302,0.01057108,0.005096016,0.103449386,0.010711118,0.012956168,0.019251399,0.682550657,2.08E-07,0.051091011,0.158284269,0.14321749,0.312167611,0.316031121,0.025725238,0.108354911,0.032761266,0.419763473,1.175504962,0.207716884,0.426691617,0.143919701,0.667987462,0.36445278,25.70729328,0.010683171,0.012925268,0.019198894,0.68113751,0.147625816,0.004644739,0.04,0.02,8.90E-06,1.51597709,0.01566381,0.2412005
41,Julia,1.579359016,0.011154527,0.005342535,0.105789538,0.00849467,0.010309254,0.013420211,2.402582124,2.11E-07,0.054404231,0.134577922,0.152249342,0.324706191,0.248812758,0.025885255,0.09912904,0.023030533,0.358364338,1.1762818,0.212596646,0.475747043,0.134369292,0.623731723,0.313563078,25.70816384,0.008476954,0.010289601,0.013390952,2.398606328,0.12740133,0.007144251,0.04,0.02,9.58E-06,1.729653595,0.011120887,0.5453676
42,Julia,1.243860421,0.018287176,0.006366286,0.149128985,0.014128994,0.016090205,0.018238257,0.68710428,2.51E-07,0.049785986,0.149017464,0.134094752,0.256952556,0.36430519,0.042234874,0.119345779,0.033692535,0.401213002,1.252477605,0.232828609,0.422878696,0.157983362,0.695982474,0.385337824,25.61132216,0.014089138,0.016048715,0.018184478,0.685566177,0.138441254,0.004610482,0.04,0.02,1.02E-05,1.46187606,0.016226278,0.4505751
43,Julia,1.295660826,0.011133589,0.006006953,0.143350566,0.012129598,0.013690611,0.016894008,0.929010875,2.65E-07,0.060942926,0.148467941,0.144903378,0.283398556,0.370871046,0.027786672,0.106318821,0.03226621,0.486563822,1.291756924,0.247194661,0.519317253,0.153398815,0.769096422,0.354153139,25.5671941,0.012109841,0.013670228,0.016865243,0.927810363,0.142143348,0.007967672,0.04,0.02,1.17E-05,1.871390279,0.009532976,0.4324549
44,Julia,1.065214561,0.016597571,0.006368876,0.091723304,0.008969799,0.01079232,0.017275577,0.296181931,3.15E-07,0.050940649,0.142981318,0.124067203,0.328563493,0.323628555,0.032159565,0.120332279,0.028698137,0.434600922,1.223702059,0.28329644,0.437045059,0.135225483,0.850946059,0.322116588,25.67498635,0.008947613,0.010767918,0.01723091,0.295600616,0.134073129,0.005110364,0.04,0.02,1.35E-05,1.56676399,0.013930711,0.6407694
45,Julia,1.031225836,0.012632838,0.005204268,0.075820017,0.008924555,0.009016053,0.018156914,0.312588544,1.59E-07,0.068936986,0.163766572,0.149382109,0.378921927,0.334379422,0.028401945,0.082283213,0.031688571,0.357081283,1.335545504,0.255240395,0.445653135,0.125885262,0.874105651,0.372042415,25.68679865,0.008912196,0.009004641,0.018130628,0.312245117,0.157474919,0.0067665,0.04,0.02,7.20E-06,2.015024536,0.008439189,0.2149322
46,Julia,5.366522701,0.010758707,0.005635507,0.130326364,0.015920578,0.018203593,0.017757697,20.19192893,6.41E-07,0.035658783,0.015066866,0.149500497,0.286694661,0.2993879,0.031146244,0.094743247,0.025018698,0.442620649,1.180045612,0.262014671,0.480286722,0.133791596,0.007056,0.282436301,25.62311687,0.0075997,0.009098916,0.008279945,10.80726922,0.000474203,1.05E-05,0.04,0.02,3.14E-05,1.131102805,0.020646138,0.3682059
47,Julia,1.097212885,0.013775252,0.007747945,0.186319169,0.011368957,0.011399128,0.015639956,0.351138839,2.65E-07,0.060429296,0.133848049,0.112222332,0.309696771,0.339564264,0.03129829,0.137538154,0.03446701,0.458117188,1.081480223,0.224317124,0.476544701,0.14452416,0.915091643,0.34056925,25.59965774,0.011336776,0.011369632,0.015593679,0.350350076,0.123806727,0.00267618,0.04,0.02,1.11E-05,1.700549487,0.013669423,0.2639869
